date,access
2013/03/31,272
2013/04/01,354
2013/04/02,384
2013/04/03,420
2013/04/04,402
2013/04/05,333
2013/04/06,245
2013/04/07,260
2013/04/08,370
2013/04/09,356
2013/04/10,377
2013/04/11,480
2013/04/12,402
2013/04/13,264
2013/04/14,236
2013/04/15,405
2013/04/16,909
2013/04/17,599
2013/04/18,419
2013/04/19,392
2013/04/20,230
2013/04/21,246
2013/04/22,401
2013/04/23,431
2013/04/24,425
2013/04/25,509
2013/04/26,455
2013/04/27,"1,746"
2013/04/28,"1,145"
2013/04/29,580
