yr_m,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
2018-07-01,1504890,2647901,19189,1557980,2622730,17492
2018-08-01,1964601,2456384,19872,2033435,2594721,14607
2018-09-01,1719802,2056228,13194,1630088,1966042,12155
2018-10-01,1601792,2549306,12831,1646230,2470474,12582
2018-11-01,1675859,2404934,15261,1673465,2385721,14712
2018-12-01,1542710,2598719,18972,1629350,2606971,25568
2019-01-01,1601915,2702560,19261,1452157,2653879,12054
2019-02-01,1389824,2581770,11516,1534792,2642594,11099
2019-03-01,2054155,2752194,13867,1929915,2588382,14231
2019-04-01,1269871,2885456,17450,1666546,2946845,16459
2019-05-01,1838301,2742819,16223,1437929,2650457,18002
2019-06-01,1547666,2753983,14997,1520993,2737553,20827
2019-07-01,1589288,2824777,20000,1659166,2825873,18384
2019-08-01,2061962,2425830,19107,2109568,2587456,14944
2019-09-01,1850064,2209000,14221,1751477,2032582,11812
2019-10-01,1585490,2441612,12508,1663474,2390786,11737
2019-11-01,1674511,2384737,13300,1642333,2366604,15187
2019-12-01,1567008,2482441,19611,1712319,2537493,23909
2020-01-01,1608306,2698824,19705,1380762,2667301,11438
2020-02-01,1289648,1155960,11400,1316820,1429619,11814
2020-03-01,521730,217679,7116,272697,317423,4889
2020-04-01,38983,5312,312,3915,29566,856
2020-05-01,14864,4488,586,5539,16875,1125
2020-06-01,20615,8028,1296,10663,17980,2494
2020-07-01,27135,10300,2244,20295,24975,4967
2020-08-01,23939,15882,2658,37137,29718,3088
2020-09-01,23351,18861,1824,31606,30943,2664
