yr_m,port,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
2007-02-01,千葉,5,8,0,4,8,0
2007-02-01,新潟,0,0,0,5,1,0
2007-02-01,直江津,0,0,0,0,0,0
2007-02-01,横　　 田(空港),3,297,0,16,302,0
2007-02-01,鹿島,3,0,0,0,0,0
2007-02-01,木更津,0,0,0,0,0,0
2007-02-01,二見,0,0,0,0,0,0
2007-02-01,柏崎,0,0,0,0,0,0
2007-02-01,日立,0,0,0,0,0,0
2007-02-01,新　　 潟(空港),5509,3295,0,5837,3961,0
2007-02-01,羽　　 田(空港),32014,33293,115,32070,34586,125
2007-02-01,成　　 田(空港),736107,323970,5748,759972,343971,6052
2007-02-01,横浜,796,96,0,5,17,0
2007-02-01,横須賀,0,0,9,0,6,0
2007-02-01,川崎,0,0,0,1,3,0
2007-02-01,厚　　 木(空港),1,6,0,0,4,0
2007-02-01,入　　 間(空港),0,0,0,0,0,0
2007-02-01,硫黄島（空港）,0,0,0,0,0,0
2007-02-01,松　　 本(空港),0,0,0,0,0,0
2007-02-01,清水,0,4,0,114,5,0
2007-02-01,田子の浦,1,0,0,0,0,0
2007-02-01,焼津,0,0,0,0,0,0
2007-02-01,浜　　 松(空港),0,0,0,0,0,0
2007-02-01,中　　 部（空港）,152420,44207,31,154990,44820,0
2007-02-01,名古屋,0,2,0,3,4,0
2007-02-01,四日市,1,0,0,2,0,0
2007-02-01,敦賀,0,4,0,0,0,0
2007-02-01,七尾,0,0,0,0,0,0
2007-02-01,名 古 屋(空港),18,73,0,10,51,0
2007-02-01,衣浦,0,0,0,0,0,0
2007-02-01,金沢,0,0,0,0,0,0
2007-02-01,小　　 松(空港),1796,1314,0,2027,1333,0
2007-02-01,富　　 山(空港),3241,1451,0,3428,1328,0
2007-02-01,福井（新）,0,0,0,0,5,0
2007-02-01,伊勢湾シーバース,0,0,0,3,3,0
2007-02-01,福　　 井(空港),0,0,0,0,0,0
2007-02-01,能　　 登(空港),0,0,0,0,0,0
2007-02-01,三河,0,0,0,0,0,0
2007-02-01,伏木富山,8,613,0,9,609,0
2007-02-01,関　　 西(空港),288591,120124,1427,300813,123585,1763
2007-02-01,大阪,311,4962,0,574,5616,0
2007-02-01,舞鶴,0,11,0,0,14,0
2007-02-01,堺,1,1,0,4,6,0
2007-02-01,有田,0,0,0,0,0,0
2007-02-01,白　　 浜(空港),0,0,0,0,0,0
2007-02-01,和歌山下津,0,0,0,0,1,0
2007-02-01,神戸,77,364,0,831,482,0
2007-02-01,姫路,0,0,0,2,1,0
2007-02-01,東播磨,1,0,0,0,1,0
2007-02-01,但　　 馬(空港),0,0,0,0,0,0
2007-02-01,尼崎西宮芦屋,0,0,0,0,0,0
2007-02-01,坂出,0,0,0,0,0,0
2007-02-01,新居浜,2,1,0,0,3,0
2007-02-01,松山,0,0,0,0,0,0
2007-02-01,徳島小松島,0,0,0,0,0,0
2007-02-01,高知,0,0,0,0,0,0
2007-02-01,今治,0,0,0,0,0,0
2007-02-01,高松,0,0,0,0,0,0
2007-02-01,大西,0,0,0,0,0,0
2007-02-01,須崎,0,1,0,0,0,0
2007-02-01,波方,0,0,0,0,0,0
2007-02-01,直島,0,0,0,0,0,0
2007-02-01,松　　 山(空港),1480,895,0,1526,1112,0
2007-02-01,高　　 知(空港),0,0,0,0,0,0
2007-02-01,徳　　 島(空港),0,0,0,0,0,0
2007-02-01,高　　 松(空港),891,668,0,911,542,0
2007-02-01,広島,0,0,0,0,1,0
2007-02-01,尾道糸崎,0,0,0,0,0,0
